Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
I-rTafnmcKI,Mencoba Apakah Bisa (2),"Dec 1, 2021",5,0.6474,0,0:07:46,122,3.28
P5ZjxTgl_zU,Nobar PMGC with SC | RifalJO,"Dec 1, 2021",5,0.7497,0,0:08:59,203,1.48
VkXZ1PAlVMI,Morning Person with PUBG OBS UPDATE MALAH BUG TERUS,"May 29, 2023",5,0.4617,0,0:05:32,211,1.42
WvpFNrYFJfo,YO,"Mar 22, 2022",5,0.1313,0,0:01:34,101,1.98
eDgjq4CZ3qE,INI GAME APA SIH MAH??,"Dec 29, 2020",5,0.1359,0,0:01:37,269,1.86
fdkMt4L2Zjs,Akhirnya Bisa Setelah Gw otak-atik,"Oct 13, 2021",5,1.0308,0,0:12:22,123,1.63
22E9Hp7iBDw,Semut Semut Kecil Saya Mau Tanya🎵,"Jul 19, 2023",4,0.0779,0,0:01:10,355,0.85
2xeXwY3xd0s,Buat Test,"Dec 27, 2020",4,0.6576,0,0:09:51,249,1.61
2yez5PtnSVQ,Males NgeEvent,"Jan 29, 2022",4,0.0908,0,0:01:21,80,1.25
30GKvGG3eHY,Octopath Traveler #1,"Aug 20, 2022",4,0.8869,0,0:13:18,82,0
38jDedlC_QI,Saya Kembali Mending Nyoba TOF | Tower Of Fantasy,"Aug 20, 2022",4,0.2104,0,0:03:09,69,2.9
4j-Lj526Jd8,Pembalasan Dendam Master Sifu,"Feb 12, 2022",4,0.2662,1,0:03:59,91,2.2
9sNasMrQ5LY,Membuka Toko BEER 🍺,"Jul 24, 2023",4,0.0086,0,0:00:07,207,1.93
FpCnQWcZVdw,TAMATIN LEGO BATMAN??,"Dec 26, 2020",4,0.1081,0,0:01:37,216,0.93
LSFTMTyJbIk,Streaming Nyuci Motor,,4,0.344,0,0:05:09,0,
Ngq-7Hfbnps,Pusing dicombo ulangan mending mabar bareng billy burung,"Aug 6, 2021",4,0.2358,0,0:03:32,120,2.5
R64w_3Wqyrg,Live Turu,,4,0.0626,0,0:00:56,69,1.45
cNH2NdV58CY,Mencoba Apakah Bisa,"Dec 1, 2021",4,0.1252,0,0:01:52,104,0.96
meE2zKV32eY,"Besok sekolah, biar kek orang yutuber yutuber main Ragnarok X","Jul 11, 2021",4,0.1333,0,0:01:59,142,2.82
rq8EVbwk7Bk,Test aja,"Dec 22, 2022",4,0.1892,0,0:02:50,47,4.26
sN-Bjgv2Gq4,BISA MECAHIN PALA ORANG??,"Dec 26, 2020",4,0.6821,0,0:10:13,242,1.65
t9qNZXPyggk,Belajar Basing Ya Main Game | Dynasty Warrior 8,"Feb 21, 2022",4,0.0843,0,0:01:15,121,0
w95X0aKVh4o,Membawa Karasuno menjadi juara,"Aug 30, 2021",4,0.1238,0,0:01:51,110,2.73
14GavtoY_mo,🔴LIVE | Solo Bersama Abang Cengo Ini (Duh Bug OBS),"Feb 26, 2023",3,0.0047,0,0:00:05,142,2.11
2FEWg1RULj0,Diserbu tugas tetap bermain #PlayWithMe,"Jul 19, 2021",3,0.0601,0,0:01:12,91,0
8lp87Db1qq4,Im Curious,"Aug 27, 2021",3,0.1758,0,0:03:30,93,3.23
EUNc71g6GyA,Stress Valo,"Aug 28, 2021",3,0.0317,0,0:00:38,96,3.13
db_hVgZrWOs,Males NgeEvent',"Jan 29, 2022",3,1.73,0,0:34:36,85,0
q73aYPySa5w,Finish What I Have Done Like a 1 years ago,"Oct 13, 2021",3,0.2138,0,0:04:16,90,1.11
38uruYcu6vY,ML,"May 1, 2022",2,0.0196,0,0:00:35,82,1.22
PODfHImOags,Random Stream Masseh,"Aug 18, 2022",2,0.003,0,0:00:05,61,1.64
fvdr0j1macY,Mengisi Waktu Senggang | Random Game,"Nov 26, 2021",2,0.0036,0,0:00:06,108,0.93
mALcZio_nh8,Simple MMO,,2,0.0371,0,0:01:06,0,
snTMqZmhYUI,PUSH KALI AJA MENANG (2),"Mar 6, 2021",2,0.0106,0,0:00:19,236,0.42
wU7oBDRlbAw,Mencari Tau Apa Yang Terjadi Saat Malam Hari. Disaat Tidur,,2,0.0157,0,0:00:28,0,
waKxxq4Qhlo,Pagi RP | JGRP #1 (ReStream),"Nov 28, 2021",2,0.0328,0,0:00:59,99,2.02
Ix2JbDCWMFM,Ni No Kuni Te Kuni Kuni,"May 27, 2022",1,0.0406,0,0:02:25,91,1.1
W8WTm4rELzY,Grand Launching YagesYa | Ragnarok Retro #5,"Dec 15, 2021",1,0.0014,0,0:00:05,117,0.85
c90bUF2237c,Ni No Kuni Te Kuni Kuni Kuni,"May 27, 2022",1,0.0349,0,0:02:05,93,1.08
xxa8MbuWGzg,Mancity VS Madrid Who's gonna win?,"May 9, 2023",1,0.1171,0,0:07:01,9,0
