Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
4NMVbrI5994,Surpipal,"Apr 26, 2023",23,0.99,0,0:02:34,1012,2.08
4qTXA75fRBw,Mencoba Workout 20 menit,"Oct 2, 2021",23,0.8686,0,0:02:15,114,14.04
QUkpHHeVEUA,Gabut test koneksi,"Nov 2, 2020",23,0.6258,0,0:01:37,88,18.18
gPPM9vmwu7g,BALAPAN APA KITA??,"Dec 23, 2020",23,1.8752,0,0:04:53,264,4.55
hDWCfoNbIG0,Morning Person 3,"Mar 3, 2023",23,2.4747,0,0:06:27,464,3.23
v8_Wdl9HsX4,🔴LIVE | Speed Run ges awikwok,"Feb 26, 2023",23,0.2842,0,0:00:44,823,2.43
25d-_xkpIeI,Morning Person 11 tapi solo gak ada temen pada turu,"Apr 11, 2023",22,3.0885,1,0:08:25,484,3.31
89JHrkRhB3s,🔴LIVE | Ingin mencari settingan MIC terbaik,"Feb 22, 2023",22,0.8878,0,0:02:25,572,2.97
B55OGjYwHu4,Karoke | onedrive dan obs itu bikin emosi dan nyusahin,"Jun 3, 2023",22,1.309,0,0:03:34,1611,1.18
Iw-ubhx1sWA,🔴LIVE | Masih belom ngerti cara maennya,"Feb 17, 2023",22,1.1663,0,0:03:10,199,6.03
Kcq3ofKAu7Q,Sampe Arc Marine Ford kah?? | One Piece Pirate Warriors 4,"Apr 4, 2021",22,1.3459,0,0:03:40,480,3.96
Lyb13xLrizE,Peradaban Baru Tanpa Bant***,"May 1, 2023",22,0.9504,1,0:02:35,607,2.97
MmUAF2Bd3dA,aKHHGGHH Pubg Dulu Ga SIEH,"Aug 19, 2023",22,2.1217,0,0:05:47,1168,1.54
RDpwLOdapEs,Ngabuburit bersihin kamar,"Apr 8, 2023",22,2.7136,1,0:07:24,460,3.7
WmuZMgK1Mtk,Hayuk Bro Kita Grinding | Genshin Impact #3,"Dec 7, 2021",22,4.2219,1,0:11:30,143,6.29
aJHXDRs69tU,Mencapai Puncak Everest bersama bejo dan asqi #shorts #gaming #roblox,"Feb 21, 2023",22,0.1186,0,0:00:19,959,1.56
zHPPbBk8V_g,Bermain Gamenya Rakel | Random Streaming,"Feb 16, 2022",22,1.0662,-1,0:02:54,183,3.28
BvB2DZBbXCs,PUBG Tapi Pistol Only,"Apr 27, 2023",21,0.9549,0,0:02:43,736,2.58
NZe8Cw8-ws8,Masih Berjuang Untuk Mencapai Bronze | Thetan Arena #2,"Dec 1, 2021",21,1.4265,0,0:04:04,145,7.59
YVOhZLIdLlw,Let's Sail The World,"Apr 16, 2023",21,1.9135,0,0:05:28,1172,1.02
iCHVVZ7o8bo,Morning Person 4,"Mar 14, 2023",21,1.9876,0,0:05:40,749,1.87
sv9vkGSTfTU,Orang kaya yang berpura' menjadi homeless,"Jul 13, 2021",21,1.9371,0,0:05:32,223,5.83
zTMLqggvvlM,Morning Person 12 | Kalian Lebaran Hari Ini?,"Apr 21, 2023",21,3.4227,0,0:09:46,273,6.23
0RKuwywG0YY,So if you lonely,"Sep 10, 2021",20,1.4437,0,0:04:19,143,6.99
ZnZuQHIs6CY,🔴LIVE | Solo Bersama Abang Cengo Ini,"Feb 26, 2023",20,1.3188,0,0:03:57,252,6.35
eg0jr2m3BIg,Cobain dah bentar 2,"Dec 20, 2022",20,3.3849,0,0:10:09,95,9.47
gid5hhDCk1Y,Bisnis SSP Vend Bro,"Jun 8, 2022",20,5.211,0,0:15:37,265,5.28
rRHYsBGxtn0,Mah Kata Temen Aku Cheat Aja Biar Cepet  -Plant VS Zombie 2,"Dec 9, 2020",20,2.9395,0,0:08:49,308,2.27
t3ji_m2QNyQ,🔴LIVE | Mari Manjat Gunung,"Feb 18, 2023",20,1.4049,1,0:04:12,126,5.56
0-jAaWvFQmk,Mari Kita Coba,"Feb 15, 2023",19,1.6942,0,0:05:21,94,8.51
4Yfv7dVuoa0,PEMBOHONGAN PUBLIK,"Oct 22, 2023",19,7.4338,0,0:23:28,1120,1.25
CXzHCOm2POQ,Join ges kita nge random,"Jan 15, 2023",19,1.7948,0,0:05:40,373,3.49
Kd1NJ9ICJok,Mah aku mabar dulu ya sama temen aku,"Nov 18, 2020",19,2.7682,0,0:08:44,370,3.24
NcsUnv_TASA,Hayuk bro kita mabar,"Aug 29, 2020",19,0.1596,1,0:00:30,226,6.19
PgdhJRdKfhY,0 Pity Eula #genshinimpact,"Dec 7, 2021",19,0.199,0,0:00:37,419,2.63
ZicnOxvWI5Q,Sleep Stream bersama fifa,"Aug 31, 2022",19,0.2642,0,0:00:50,5784,0.28
_mO5D7KrN68,Pemanasan,"Feb 12, 2022",19,2.8113,0,0:08:52,139,2.16
jy1E-pE24VA,Mencari game seru yang bisa dimainin beribu ribu jam,"Jan 29, 2023",19,1.2539,0,0:03:57,955,1.15
o3198_Qce5g,Entah kenapa suka banget game Ragnarok kek gini | Ragnarok Online,"Jan 30, 2023",19,0.9823,0,0:03:06,223,4.93
q1pYI43myDY,Tik Tok live full problem (Morning Person),"May 4, 2023",19,1.1882,0,0:03:45,1484,0.74
qeHYJNogsr4,ROLEPLAY JADI YAKUZA JEPUN,"Mar 16, 2021",19,0.6719,0,0:02:07,648,2.47
yZmCgr2Ez_A,Mabar Minigame bro | Minecraft #2,"May 5, 2021",19,1.1506,0,0:03:38,355,4.51
zSf-JtOdlNQ,Genre Game Kesukaan GWEH,"Apr 10, 2023",19,0.6311,0,0:01:59,642,1.56
69Cp4tqxu10,cuma mau test settingan stream,"Aug 14, 2023",18,0.7921,0,0:02:38,865,1.27
ID_ynEqTfy8,NgaduBurit Bersama Mas Fathur,"Apr 1, 2023",18,1.667,0,0:05:33,563,1.95
N3oYfvF3uuU,🔴LIVE | Mencari Harta Karun,"Feb 26, 2023",18,0.4491,0,0:01:29,336,3.87
O4tYFJRuHWQ,Sahur Bersama Bejo,"Mar 23, 2023",18,1.5345,0,0:05:06,794,1.51
U-y-QeYMZ6M,Hari Pertama Bermain Apex lagi,"Feb 16, 2023",18,3.2402,0,0:10:48,218,3.21
l6p-koCTO1E,Ada Iblis DiDiriku!!,"Apr 8, 2023",18,1.7699,0,0:05:53,614,2.44
w3hIMQDFxvk,Morning Person 15,"May 1, 2023",18,2.4634,0,0:08:12,639,2.66
 -_NnocqKtFQ,Gokil Keluar Organnya #GTASADEFINITVE #GTA #GTASA,"Nov 13, 2021",17,0.0796,1,0:00:16,551,0.54
1ejJ7-ENiRI,Ni No Kuni Te Kuni Kuni Kuni,"May 29, 2022",17,0.2775,0,0:00:58,130,9.23
G8DkAl18ovU,Jagoan GW Nih BOS,"Apr 11, 2021",17,1.3198,0,0:04:39,386,3.37
JSaXCeZS4-c,Sini cuy perang aja kita,"May 18, 2023",17,0.9624,0,0:03:23,686,2.33
QymPakayVL0,Highlight | Game Horror Gak JELASSSS,"Feb 18, 2023",17,0.2025,0,0:00:42,1376,0.65
WvfxUDpWwN4,Memikirkan Konsep,"Feb 13, 2022",17,0.7047,0,0:02:29,180,5
XaBgMr33h-E,Pagi RP | JGRP #1,"Nov 28, 2021",17,1.5186,0,0:05:21,201,6.47
fHxj9ALcDEE,BATTLEFIELD ROBLOX,"Oct 23, 2023",17,2.851,0,0:10:03,815,1.6
g1gF1_eZtdg,Lanjutin Beyond Two Souls Di Stream Ajalah,"Jul 12, 2022",17,1.9341,0,0:06:49,158,7.59
tiWhlJIUKZw,Cari Poriftan Entah Dimanapun Itu,"Jun 5, 2022",17,0.7915,0,0:02:47,183,6.56
